,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
4,180,"г. Новосибирск, ул. Вертковская, д. 37",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,181,"г. Новосибирск, ул. Вертковская, д. 39/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,182,"г. Новосибирск, ул. Владимировская, д. 1",УК «МКС-Новосибирск»,233-03-10,1963,3 205.60,138
7,183,"г. Новосибирск, ул. Владимировская, д. 3",УК «МКС-Новосибирск»,233-03-10,1962,2 778.20,115
8,184,"г. Новосибирск, ул. Владимировская, д. 3а",УК «МКС-Новосибирск»,233-03-10,1983,14 058.30,680
9,185,"г. Новосибирск, ул. Владимировская, д. 4",УК «МКС-Новосибирск»,233-03-10,1956,3 215.86,122
10,186,"г. Новосибирск, ул. Владимировская, д. 6",УК «МКС-Новосибирск»,233-03-10,1956,3 125.80,96
11,187,"г. Новосибирск, ул. Владимировская, д. 7",УК «МКС-Новосибирск»,233-03-10,1966,5 081.22,233
12,188,"г. Новосибирск, ул. Владимировская, д. 8",УК «МКС-Новосибирск»,233-03-10,1963,3 466.80,126
13,189,"г. Новосибирск, ул. Владимировская, д. 9",УК «МКС-Новосибирск»,233-03-10,1965,3 590.20,178
14,190,"г. Новосибирск, ул. Владимировская, д. 12",УК «МКС-Новосибирск»,233-03-10,1963,3 573.30,216
15,191,"г. Новосибирск, ул. Владимировская, д. 13",УК «МКС-Новосибирск»,233-03-10,1965,2 558.30,137
16,192,"г. Новосибирск, ул. Владимировская, д. 14",УК «МКС-Новосибирск»,233-03-10,1964,3 496.80,153
17,193,"г. Новосибирск, ул. Владимировская, д. 16",УК «МКС-Новосибирск»,233-03-10,1964,3 465.36,198
18,194,"г. Новосибирск, ул. Владимировская, д. 29а",УК «МКС-Новосибирск»,233-03-10,1930,414.20,38
19,195,"г. Новосибирск, ул. Владимировская, д. 33",УК «МКС-Новосибирск»,233-03-10,1960,1 950.61,69
20,196,"г. Новосибирск, ул. Владимировская, д. 33а",УК «МКС-Новосибирск»,233-03-10,1934,149.00,16
21,197,"г. Новосибирск, ул. Владимировская, д. 35",УК «МКС-Новосибирск»,233-03-10,1960,631.10,26
22,198,"г. Новосибирск, спуск. Владимировский, д. 2",УК «МКС-Новосибирск»,233-03-10,1957,717.30,31
23,199,"г. Новосибирск, спуск. Владимировский, д. 2с",УК «МКС-Новосибирск»,233-03-10,1938,1 105.20,48
24,200,"г. Новосибирск, спуск. Владимировский, д. 7",УК «МКС-Новосибирск»,233-03-10,1965,3 376.60,153
1,202,"г. Новосибирск, спуск. Владимировский, д. 10",УК «МКС-Новосибирск»,233-03-10,1986,230.90,10
2,203,"г. Новосибирск, спуск. Владимировский, д. 11",УК «МКС-Новосибирск»,233-03-10,1970,4 052.70,132
3,204,"г. Новосибирск, спуск. Владимировский, д. 21",УК «МКС-Новосибирск»,233-03-10,1918,267.60,27
4,205,"г. Новосибирск, спуск. Владимировский, д. 82",УК «МКС-Новосибирск»,233-03-10,1931,159.50,15
5,206,"г. Новосибирск, спуск. Владимировский, д. 83",УК «МКС-Новосибирск»,233-03-10,1925,196.60,14
6,207,"г. Новосибирск, ул. Высоковольтная, д. 8",УК «МКС-Новосибирск»,233-03-10,1958,38.90,3
7,208,"г. Новосибирск, ул. Высоковольтная, д. 18",УК «МКС-Новосибирск»,233-03-10,1958,40.40,1
8,209,"г. Новосибирск, ул. Высоковольтная, д. 51",УК «МКС-Новосибирск»,233-03-10,1957,231.40,26
9,210,"г. Новосибирск, ул. Гоголя, д. 23",УК «МКС-Новосибирск»,233-03-10,1962,3 304.50,108
10,211,"г. Новосибирск, ул. Гоголя, д. 23а",УК «МКС-Новосибирск»,233-03-10,1962,3 162.80,174
11,212,"г. Новосибирск, ул. Гоголя, д. 25",УК «МКС-Новосибирск»,233-03-10,1962,3 478.00,97
12,213,"г. Новосибирск, ул. Гоголя, д. 27",УК «МКС-Новосибирск»,233-03-10,1962,3 608.20,137
13,214,"г. Новосибирск, ул. Гоголя, д. 27а",УК «МКС-Новосибирск»,233-03-10,1961,3 477.20,164
14,215,"г. Новосибирск, ул. Гоголя, д. 29",УК «МКС-Новосибирск»,233-03-10,1962,3 630.00,162
15,216,"г. Новосибирск, ул. Гоголя, д. 31",УК «МКС-Новосибирск»,233-03-10,1962,3 569.50,192
16,217,"г. Новосибирск, ул. Гоголя, д. 31а",УК «МКС-Новосибирск»,233-03-10,1962,3 588.70,170
17,218,"г. Новосибирск, ул. Гоголя, д. 33",УК «МКС-Новосибирск»,233-03-10,1962,3 653.70,153
18,219,"г. Новосибирск, ул. Гоголя, д. 35",УК «МКС-Новосибирск»,233-03-10,1962,3 570.20,170
19,220,"г. Новосибирск, ул. Гоголя, д. 37",УК «МКС-Новосибирск»,233-03-10,1962,3 506.10,161
20,221,"г. Новосибирск, ул. Гоголя, д. 41",УК «МКС-Новосибирск»,233-03-10,1961,3 572.60,155
21,222,"г. Новосибирск, ул. Гоголя, д. 41а",УК «МКС-Новосибирск»,233-03-10,1961,3 557.70,170
22,223,"г. Новосибирск, ул. Гоголя, д. 43",УК «МКС-Новосибирск»,233-03-10,1962,3 557.20,169
